ISO639-2B,ISO639-2T,ISO639-1,lang_ja,lang
bem,,,ベンバ語,Bemba
ben,,bn,ベンガル語,Bengali; Bangla
ber,,,ベルベル語派(その他),Berber languages
bho,,,ボージュプリー語,Bhojpuri
bih,,bh,ビハール語,Bihari languages
bik,,,ビコル小語群,Bikol
bin,,,ビニ語,Bini; Edo
bis,,bi,ビスラマ語,Bislama
bla,,,ブラックフット語,Siksika
bnt,,,バントゥ諸語(その他),Bantu languages
bos,,bs,ボスニア語,Bosnian
bra,,,ブラジ語,Braj
bre,,br,ブルトン語,Breton
btk,,,バタク語(インドネシア),Batak languages
bua,,,ブリヤート語,Buriat
bug,,,ブギス語,Buginese
bul,,bg,ブルガリア語,Bulgarian
bur,mya,my,ビルマ語；ミャンマー語,Myanmar; Burmese
byn,,,ビリン語,Blin; Bilin
cad,,,カド語,Caddo
cai,,,中米インディアン諸語(その他),Central American Indian languages
car,,,カリブ語,Galibi Carib
cat,,ca,カタロニア語,Catalan
cau,,,カフカース諸語(その他),Caucasian languages
ceb,,,セブアノ語,Cebuano
cel,,,ケルト語派(その他),Celtic languages
cha,,ch,チャモロ語,Chamorro
chb,,,チブチャ語族,Chibcha
che,,ce,チェチェン語,Chechen
chg,,,チャガタイ語,Chagatai
chi,zho,zh,中国語,Chinese
chk,,,トラック語,Chuukese
chm,,,マリ語,Mari
chn,,,チヌーク・ジャーゴン,Chinook jargon
cho,,,チョクトー語,Choctaw
chp,,,チペワイアン語,Chipewyan; Dene Suline
chr,,,チェロキー語,Cherokee
chu,,cu,教会スラブ語,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic
chv,,cv,チュワシュ語,Chuvash
chy,,,シャイアン語,Cheyenne
cmc,,,チャム諸語,Chamic languages
cop,,,コプト語,Coptic
cor,,kw,コーンウォール語,Cornish
cos,,co,コルシカ語,Corsican
cpe,,,英語系クレオル諸語及びピジン語(その他),"Creoles and pidgins, English based"
cpf,,,フランス語系クレオル諸語及びピジン語(その他),"Creoles and pidgins, French-based"
cpp,,,ポルトガル語系クレオル諸語及びピジン語(その他),"Creoles and pidgins, Portuguese-based"
cre,,cr,クリー語,Cree
crh,,,クリム・タタール語；クリム・トルコ語,Crimean Tatar; Crimean Turkish
crp,,,クレオル諸語及びピジン語(その他),Creoles and pidgins
csb,,,カシューブ語,Kashubian
cus,,,クシュ語派(その他),Cushitic languages
cze,ces,cs,チェコ語,Czech
dak,,,ダコタ語,Dakota
dan,,da,デンマーク語,Danish
dar,,,ダルグワ語,Dargwa
day,,,ダヤク語,Land Dayak languages
del,,,デラウエア語,Delaware
den,,,スレイビー語,Slave (Athapascan)
dgr,,,ドグリブ語,Dogrib
din,,,ディンカ語,Dinka
div,,dv,ディベヒ語；モルジブ語,Divehi; Dhivehi; Maldivian
doi,,,ドーグリー語,Dogri
dra,,,ドラビダ語族(その他),Dravidian languages
dsb,,,下ソルブ語,Lower Sorbian
dua,,,ドゥアラ語,Duala
dum,,,中期オランダ語,Middle Dutch (ca. 1050-1350)
dut,nld,nl,オランダ語,Dutch
dyu,,,ジュラ語,Dyula
dzo,,dz,ゾンカ語；ブータン語,Dzongkha; Bhutani; Butanese
efi,,,エフィック語,Efik
egy,,,古代エジプト語,Egyptian (Ancient)
eka,,,エカジュク語,Ekajuk
elx,,,エラム語,Elamite
eng,,en,英語,English
enm,,,中期英語,Middle English (1100-1500)
epo,,eo,エスペラント語,Esperanto
est,,et,エストニア語,Estonian
ewe,,ee,エウェ語群；エベ語群,Ewe
ewo,,,エウォンド語,Ewondo
fan,,,ファン語,Fang
fao,,fo,フェーロー語,Faroese; Faeroese
fat,,,ファンテ語,Fanti
fij,,fj,フィジー語,Fijian
fil,,,フィリピノ語；ピリピノ語,Filipino; Pilipino
fin,,fi,フィンランド語,Finnish
fiu,,,フィン・ウゴル語派(その他),Finno-Ugrian languages
fon,,,フォン語,Fon
fre,fra,fr,フランス語,French
frm,,,中期フランス語,Middle French (ca. 1400-1600)
fro,,,古フランス語,Old French (842-ca. 1400)
frr,,,北フリジア語,Northern Frisian
frs,,,東フリジア語,Eastern Frisian
fry,,fy,フリジア語；西フリジア語,Western Frisian
ful,,ff,フラニ語；フルフルデ語,Fulah
fur,,,フリウリ語,Friulian
gaa,,,ガー語,Ga
gay,,,ガヨ語,Gayo
gba,,,グバヤ方言群,Gbaya
gem,,,ゲルマン語派(その他),Germanic languages
geo,kat,ka,グルジア語,Georgian
ger,deu,de,ドイツ語,German
gez,,,ゲエズ語,Geez
gil,,,キリバス語；ギルバート語,Gilbertese
gla,,gd,高地スコットランド・ゲール語,Gaelic; Scottish Gaelic; Gaelic (Scots)
gle,,ga,アイルランド語,Irish
glg,,gl,ガリシア語,Galician
glv,,gv,マン島語,Manx
gmh,,,中高ドイツ語,Middle High German (ca. 1050-1500)
goh,,,古高ドイツ語,Old High German (ca. 750-1050)
gon,,,ゴーンディー語,Gondi
gor,,,ゴロンタロ語,Gorontalo
got,,,ゴート語,Gothic
grb,,,グレボ小語群,Grebo
grc,,,古代ギリシア語,Ancient Greek (to 1453)
gre,ell,el,現代ギリシア語,Modern Greek (post 1453)
grn,,gn,グァラニ語；ワラニー語,Guarani
gsw,,,スイス・ドイツ語；アレマン語,Swiss German; Alemannic; Alsatian
guj,,gu,グジャラート語,Gujarati
gwi,,,クチン語,Gwich'in
hai,,,ハイダ語,Haida
hat,,ht,ハイチ語；ハイチ・クレオール語,Haitian; Haitian Creole
hau,,ha,ハウサ語,Hausa
haw,,,ハワイ語,Hawaiian
heb,,he,ヘブライ語,Hebrew
her,,hz,ヘレロ語,Herero
hil,,,ヒリガイノン語,Hiligaynon
him,,,ヒマチャリー語,Himachali languages; Western Pahari languages
hin,,hi,ヒンディー語,Hindi
hit,,,ヒッタイト語,Hittite
hmn,,,フモン語,Hmong; Mong
hmo,,ho,ヒリモトゥ語,Hiri Motu
hsb,,,上ソルブ語,Upper Sorbian
hun,,hu,ハンガリー語；マジャル語,Hungarian
hup,,,フーパ語,Hupa
iba,,,イバン語,Iban
ibo,,ig,イグボ語；イボ語,Igbo
ice,isl,is,アイスランド語,Icelandic
ido,,io,イド語,Ido
iii,,ii,彝語,Sichuan Yi; Nuosu
ijo,,,イジョー方言群,Ijo languages
iku,,iu,イヌイット語；エスキモー語,Inuktitut
ile,,ie,インターリング,Interlingue; Occidental
ilo,,,イロカノ語,Iloko
ina,,ia,インターリンガ語,Interlingua
inc,,,インド語派(その他),Indic languages
ind,,id,インドネシア語,Indonesian
ine,,,インド・ヨーロッパ語族(その他),Indo-European languages
inh,,,イングシ語,Ingush
ipk,,ik,イヌピアック語,Inupiaq
ira,,,イラン語派(その他),Iranian languages
iro,,,イロコイ語族,Iroquoian languages
ita,,it,イタリア語,Italian
jav,jaw,jv,ジャワ語,Javanese
jbo,,,ロジバン語,Lojban
jpn,,ja,日本語,Japanese
jpr,,,ユダヤ・ペルシア語,Judeo-Persian
jrb,,,ユダヤ・アラビア語,Judeo-Arabic
kaa,,,カラカルパク語,Kara-Kalpak
kab,,,カビール語,Kabyle
kac,,,カチン語,Kachin; Jingpho
kal,,kl,グリーンランド語,Greenlandic; Kalaallisut
kam,,,カンバ語,Kamba
kan,,kn,カンナダ語,Kannada
kar,,,カレン語群,Karen languages
kas,,ks,カシュミール語,Kashmiri
kau,,kr,カヌリ語,Kanuri
kaw,,,カウィ語,Kawi
kaz,,kk,カザフ語,Kazakh
kbd,,,カバルド語,Kabardian
kha,,,カシ語,Khasi
khi,,,コイサン語族(その他),Khoisan languages
khm,,km,カンボジア語；クメール語,Central Khmer
kho,,,コータン語,Khotanese; Sakan
kik,,ki,キクユ語,Kikuyu; Gikuyu
kin,,rw,ルワンダ語,Kinyarwanda; Rwanda
kir,,ky,キルギス語,Kirghiz; Kyrgyz
kmb,,,キンブンドゥ語,Kimbundu
kok,,,コーンカニー語,Konkani
kom,,kv,コミ語,Komi
kon,,kg,コンゴ語,Kongo
kor,,ko,韓国語；朝鮮語,Korean
kos,,,コシャエ語,Kosraean
kpe,,,クペレ語,Kpelle
krc,,,カラチャイ・バルカル語,Karachay-Balkar
krl,,,カレリア語,Karelian
kro,,,クルー諸語,Kru languages
kru,,,クルク語,Kurukh
kua,,kj,クワニャマ語,Kuanyama; Kwanyama
kum,,,クムク語,Kumyk
kur,,ku,クルド語,Kurdish
kut,,,クーテナイ語,Kutenai
lad,,,ユダヤ・スペイン語,Ladino
lah,,,ラーンダー語,Lahnda
lam,,,ランバ語,Lamba
lao,,lo,ラオ語,Laotian; Lao
lat,,la,ラテン語,Latin
lav,,lv,ラトビア語,Latvian; Lettish
lez,,,レズギ語,Lezghian
lim,,li,リンブルガー語,Limburgan; Limburger; Limburgish
lin,,ln,リンガラ語,Lingala
lit,,lt,リトアニア語,Lithuanian
lol,,,モンゴ語,Mongo
loz,,,ロズィ語,Lozi
ltz,,lb,ルクセンブルク語,Luxembourgish; Letzeburgesch
lua,,,ルバ・ルルア小語群,Luba-Lulua
lub,,lu,キルバ語,Luba-Katanga
lug,,lg,ガンダ語,Ganda
lui,,,ルイセーニョ語,Luiseno
lun,,,ルンダ語,Lunda
luo,,,ルオ語,Luo (Kenya and Tanzania)
lus,,,ルシャイ語,lushai
mac,mkd,mk,マケドニア語,Macedonian
mad,,,マドゥラ語,Madurese
mag,,,マガヒー語,Magahi
mah,,mh,マーシャル語,Marshallese
mai,,,マイティリー語,Maithili
mak,,,マカッサル語,Makasar
mal,,ml,マラヤーラム語,Malayalam
man,,,マンデ語；マンディンゴ語,Mandingo
mao,mri,mi,マオリ語,Maori
map,,,オーストロネシア語族(その他),Austronesian languages
mar,,mr,マラーティー語,Marathi
mas,,,マサイ語,Masai
may,msa,ms,マレー語,Malay
mdf,,,モクシャ語,Moksha
mdr,,,マンダル語,Mandar
men,,,メンデ語,Mende
mga,,,中期アイルランド語,Middle Irish (900-1200)
mic,,,ミクマック語,Mi'kmaq; Micmac
min,,,ミナンカバウ語,Minangkabau
mis,,,その他の言語,Uncoded languages
mkh,,,モン・クメール語派(その他),Mon-Khmer languages
mlg,,mg,マラガシ語,Malagasy
mlt,,mt,マルタ語,Maltese
mnc,,,満州語,Manchu
mni,,,マニプル語,Manipuri
mno,,,マノボ語族,Manobo languages
moh,,,モホーク語,Mohawk
mol,,mo,モルダビア語,Moldavian
mon,,mn,満州語；モンゴル語,Mongolian
mos,,,モシ語,Mossi
mul,,,複数言語,multiple languages
mun,,,ムンダー諸語,Munda languages
mus,,,クリーク語,Creek
mwl,,,ミランダ語,Mirandese
mwr,,,マールワーリー語,Marwari
myn,,,マヤ語族,Mayan languages
myv,,,エルジャ語,Erzya
nah,,,ナワトル語,Nahuatl languages
nai,,,北米インディアン諸語(その他),North American Indian languages
nap,,,ナポリ語,Neapolitan
nau,,na,ナウル語,Nauran
nav,,nv,ナバホ語,Navajo; Navaho
nbl,,nr,南ンデベレ語,"Ndebele, South; South Ndebele"
nde,,nd,北ンデベレ語,"Ndebele, North; North Ndebele"
ndo,,ng,ンドゥンガ語,Ndonga
nds,,,低地ドイツ語,"Low German; Low Saxon; German, Low; Saxon, Low"
nep,,ne,ネパール語,Nepali
new,,,ネワール語,Newari
nia,,,ニアス語,Nias
nic,,,ニジェール・コルドファン語族(その他),Niger-Kordofanian languages
niu,,,ニウエー語,Niuean
nno,,nn,ニューノシュク,"Norwegian Nynorsk; Nynorsk, Norwegian"
nob,,nb,ブークモール,"Bokmål, Norwegian; Norwegian Bokmål"
nog,,,ノガイ語,Nogai
non,,,古ノルド語,Old Norse
nor,,no,ノルウェー語,Norwegian
nqo,,,ンコ語,N'ko
nso,,,北ソト語,Pedi; Sepedi; Northern Sotho
nub,,,ヌビア語群,Nubian languages
nwc,,,古典ネワール語,Classical Newari; Old Newari; Classical Nepal Bhasa
nya,,ny,チェワ語；ニャンジャ語,Chichewa; Chewa; Nyanja
nym,,,ニャムウェズィ語,Nyamwezi
nyn,,,ニャンコレ語,Nyankole
nyo,,,ニョロ語,Nyoro
nzi,,,ンジマ語,Nzima
oci,,oc,オック語,Occitan (post 1500)
oji,,oj,オジブワ語,Ojibwa
ori,,or,オリヤー語,Oriya
orm,,om,オロモ語；ガッラ語,Oromo; Afan Oromo; Galla
osa,,,オセージ語,Osage
oss,,os,オセット語,Ossetian; Ossetic
ota,,,オスマン・トルコ語,Ottoman Turkish (1500-1928)
oto,,,オトミ語,Otomian languages
paa,,,パプア諸語(その他),Papuan languages
pag,,,パンガシナン語,Pangasinan
pal,,,中期ペルシア語；パフラビ語,Pahlavi
pam,,,カパンパンガン語,Pampanga; Kapampangan
pan,,pa,パンジャーブ語,Punjabi; Panjabi
pap,,,パピアメント語,Papiamento
pau,,,パラオ語,Palauan
peo,,,古代ペルシア語,Old Persian (ca. 600-400 B.C.)
per,fas,fa,ペルシア語,Farsi; Persian
phi,,,フィリピン諸語(その他),Philippine languages
phn,,,フェニキア語,Phoenician
pli,,pi,パーリ語,Pali
pol,,pl,ポーランド語,Polish
pon,,,ポナペ語,Pohnpeian
por,,pt,ポルトガル語,Portuguese
pra,,,プラークリット語,Prakrit languages
pro,,,プロバンス語,"Provençal, Old (to 1500);Occitan, Old (to 1500)"
pus,,ps,パシュトー語,Pushto; Pashto
qaa-qtz,,,局地用,reserved for local use
que,,qu,ケチュア語,Quechua
raj,,,ラージャスターン語,Rajasthani
rap,,,ラパヌイ語,Rapanui
rar,,,ラロトンガ語,Rarotongan; Cook Islands Maori
roa,,,ロマンス諸語(その他),Romance languages
roh,,rm,レト・ロマンス語；ロマンシュ語,Romansh
rom,,,ロマーニー語,Romani
rum,ron,ro,ルーマニア語,Romanian
run,,rn,ルンディ語,Kirundi; Rundi
rup,,,アルーマニア語；マケド・ルーマニア語,Aromanian; Arumanian; Macedo-Romanian
rus,,ru,ロシア語,Russian
sad,,,サンダウェ語,Sandawe
sag,,sg,サンゴ語,Sangho
sah,,,ヤクート語,Yakut
sai,,,南米インディアン諸語(その他),South American Indian languages
sal,,,セイリッシュ語族,Salishan languages
sam,,,サマリア・アラム語,Samaritan Aramaic
san,,sa,サンスクリット語,Sanskrit
sas,,,ササク語,Sasak
sat,,,サンタール語,Santali
scc,srp,sr,セルビア語,Serbian
scn,,,シチリア語,Sicilian
sco,,,低地スコットランド・ゲール語,Lowlands Scots; Scots; Lallans
scr,hrv,hr,クロアチア語,Croatian
sel,,,セリクプ語,Selkup
sem,,,セム語族(その他),Semitic languages
sga,,,古アイルランド語,Old Irish (to 900)
sgn,,,手話,Sign languages
shn,,,シャン語,Shan
sid,,,シダモ語,Sidamo
sin,,si,シンハラ語,Sinhala; Sinhalese
sio,,,スー語族,Siouan languages
sit,,,シナ・チベット語族(その他),Sino-Tibetan languages
sla,,,スラブ語派(その他),Slavic languages
slo,slk,sk,スロバキア語,Slovak
slv,,sl,スロベニア語,Slovenian
sma,,,南サーミ語,Southern Sami
sme,,se,北サーミ語,Northern Sami
smi,,,サーミ語(その他),Sami languages
smj,,,ルレ・サーミ語,Lule Sami
smn,,,イナリ・サーミ語,Inari Sami
smo,,sm,サモア語,Samoan
sms,,,スコルト・サーミ語,Skolt Sami
sna,,sn,ショナ語,Shona; Chishona
snd,,sd,シンド語,Sindhi
snk,,,ソニンケ語,Soninke
sog,,,ソグド語,Sogdian
som,,so,ソマリ語,Somali
son,,,ソンガイ語,Songhai languages
sot,,st,南ソト語,Sesotho; Southern Sotho 
spa,,es,スペイン語；カスティーヤ語,Spanish; Castilian
srd,,sc,サルデーニャ語,Sardinian
srn,,,スラナン語,Sranan Tongo
srr,,,セレル語,Serer
ssa,,,ナイル・サハラ言語群(その他),Nilo-Saharan languages
ssw,,ss,スワティ語,Swazi; Swati; Siswati
suk,,,スクマ語,Sukuma
sun,,su,スンダ語,Sundanese
sus,,,スス語,Susu
sux,,,シュメール語,Sumerian
swa,,sw,スワヒリ語,Swahili; Kiswahili
swe,,sv,スウェーデン語,Swedish
syc,,,古典シリア語,Classical Syriac
syr,,,シリア語,Syriac
tah,,ty,タヒチ語,Tahitian
tai,,,タイ諸語(その他),Tai languages
tam,,ta,タミル語,Tamil
tat,,tt,タタール語,Tatar
tel,,te,テルグ語,Telugu
tem,,,テムネ語,Timne
ter,,,テレーノ語,Tereno
tet,,,テトゥン語,Tetum
tgk,,tg,タジク語,Tajiki
tgl,,tl,タガログ語,Tagalog
tha,,th,タイ語,Thai
tib,bod,bo,チベット語,Tibetan
tig,,,ティグレ語,Tigre
tir,,ti,ティグリニア語,Tigrinya
tiv,,,ティブ語,Tiv
tkl,,,トケラウ語,Tokelau
tlh,,,クリンゴン語,Klingon; tlhIngan-Hol
tli,,,トリンギット語,Tlingit
tmh,,,トゥアレグ語,Tamashek
tog,,,トンガ語(ニヤサ地方),Tonga (Nyasa)
ton,,to,トンガ語(トンガ諸島),Tongan (Tonga Islands)
tpi,,,トク・ピシン,Tok Pisin
tsi,,,ツィムシアン語,Tsimshian
tsn,,tn,ツワナ語,Setswana; Tswana
tso,,ts,ツォンガ語,Tsonga
tuk,,tk,トルクメン語,Turkmen
tum,,,トゥンブカ語,Tumbuka
tup,,,トゥピ語族,Tupi languages
tur,,tr,トルコ語,Turkish
tut,,,アルタイ諸言語(その他),Altaic languages
tvl,,,ツバル語,Tuvalu
twi,,tw,チュイ語,Twi; Tshi
tyv,,,トゥワ語,Tuvinian
udm,,,ウドムルト語,Udmurt
uga,,,ウガリト語,Ugaritic
uig,,ug,ウイグル語,Uighur; Uyghur
ukr,,uk,ウクライナ語,Ukrainian
umb,,,ウンブンドゥ語,Umbundu
und,,,不明言語,undetermined
urd,,ur,ウルドゥー語,Urdu
uzb,,uz,ウズベク語,Uzbek
vai,,,バイ語,Vai
ven,,ve,ベンダ語,Venda
vie,,vi,ベトナム語,Vietnamese
vol,,vo,ボラピューク語,Volapuk
vot,,,ボート語,Votic
wak,,,ワカシュ語族,Wakashan languages
wal,,,ワッラモ語,Wolaitta; Wolaytta
war,,,ワライ語,Waray
was,,,ワショ語,Washo
wel,cym,cy,ウェールズ語,Welsh
wen,,,ソルブ語,Sorbian languages
wln,,wa,ワロン語,Walloon
wol,,wo,ウォロフ語,Wolof
xal,,,カルムイク語；オイラト語,Kalmyk; Oirat
xho,,xh,コサ語,Xhosa
yao,,,ヤオ語,Yao
yap,,,ヤップ語,Yapese
yid,,yi,イディッシュ語,Yiddish
yor,,yo,ヨルバ語,Yoruba
ypk,,,ユピック語,Yupik languages
zap,,,サポテック語,Zapotec
zbl,,,ブリスシンポル,Blissymbols; Blissymbolics; Bliss
zen,,,ゼナガ語,Zenaga
zha,,za,チュワン語,Zhuang; Chuang
znd,,,ザンデ語,Zande languages
zul,,zu,ズールー語,Zulu
zun,,,ズニ語,Zuni
zxx,,,言語的内容なし,No linguistic content; Not applicable
zza,,,ザザキ語,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki
